*;0;#group_mbits;index;offset;type;nss;bw;gi;mbits
*;0;group_mbits;0;0;ht;1;0;0;6.5,13,19.5,26,39,52,58.5,65
*;0;group_mbits;1;10;ht;2;0;0;13,26,39,52,78,104,117,130
*;0;group_mbits;2;20;ht;3;0;0;19.5,39,58.5,78,117,156,175.5,195
*;0;group_mbits;3;30;ht;4;0;0;26,52,78,104,156,208,234,260
*;0;group_mbits;4;40;ht;1;0;1;7.2,14.4,21.7,28.9,43.3,57.8,65,72.2
*;0;group_mbits;5;50;ht;2;0;1;14.4,28.9,43.3,57.8,86.7,115.6,130,144.4
*;0;group_mbits;6;60;ht;3;0;1;21.7,43.3,65,86.7,130,173.3,195,216.7
*;0;group_mbits;7;70;ht;4;0;1;28.9,57.8,86.7,115.6,173.3,231.1,260,288.9
*;0;group_mbits;8;80;ht;1;1;0;13.5,27,40.5,54,81,108,121.5,135
*;0;group_mbits;9;90;ht;2;1;0;27,54,81,108,162,216,243,270
*;0;group_mbits;a;a0;ht;3;1;0;40.5,81,121.5,162,243,324,364.5,405
*;0;group_mbits;b;b0;ht;4;1;0;54,108,162,216,324,432,486,540
*;0;group_mbits;c;c0;ht;1;1;1;15,30,45,60,90,120,135,150
*;0;group_mbits;d;d0;ht;2;1;1;30,60,90,120,180,240,270,300
*;0;group_mbits;e;e0;ht;3;1;1;45,90,135,180,270,360,405,450
*;0;group_mbits;f;f0;ht;4;1;1;60,120,180,240,360,480,540,600
*;0;group_mbits;10;100;cck;1;0;0;1,2,5.5,11,1,2,5.5,11
*;0;group_mbits;11;110;ofdm;1;0;0;6,9,12,18,24,36,48,54
*;0;group_mbits;12;120;vht;1;0;0;6.5,13,19.5,26,39,52,58.5,65,78,nan
*;0;group_mbits;13;130;vht;2;0;0;13,26,39,52,78,104,117,130,156,nan
*;0;group_mbits;14;140;vht;3;0;0;19.5,39,58.5,78,117,156,175.5,195,234,260
*;0;group_mbits;15;150;vht;4;0;0;26,52,78,104,156,208,234,260,312
*;0;group_mbits;16;160;vht;1;0;1;7.2,14.4,21.7,28.9,43.3,57.8,65,72.2,86.7,nan
*;0;group_mbits;17;170;vht;2;0;1;14.4,28.9,43.3,57.8,86.7,115.6,130,144.4,173.3,nan
*;0;group_mbits;18;180;vht;3;0;1;21.7,43.3,65,86.7,130,173.3,195,216.7,260,288.9
*;0;group_mbits;19;190;vht;4;0;1;28.9,57.8,86.7,115.6,173.3,231.1,260,288.9,346.7
*;0;group_mbits;1a;1a0;vht;1;1;0;13.5,27,40.5,54,81,108,121.5,135,162,180
*;0;group_mbits;1b;1b0;vht;2;1;0;27,54,81,108,162,216,243,270,324,360
*;0;group_mbits;1c;1c0;vht;3;1;0;40.5,81,121.5,162,243,324,364.5,405,486,540
*;0;group_mbits;1d;1d0;vht;4;1;0;54,108,162,216,324,432,486,540,648,720
*;0;group_mbits;1e;1e0;vht;1;1;1;15,30,45,60,90,120,135,150,180,200
*;0;group_mbits;1f;1f0;vht;2;1;1;30,60,90,120,180,240,270,300,360,400
*;0;group_mbits;20;200;vht;3;1;1;45,90,135,180,270,360,405,450,540,600
*;0;group_mbits;21;210;vht;4;1;1;60,120,180,240,360,480,540,600,720,800
*;0;group_mbits;22;220;vht;1;2;0;29.3,58.5,87.8,117,175.5,234,263.3,292.5,351,390
*;0;group_mbits;23;230;vht;2;2;0;58.5,117,175.5,234,351,468,526.5,585,702,780
*;0;group_mbits;24;240;vht;3;2;0;87.8,175.5,263.3,351,526.5,702,nan,877.5,1053,1170
*;0;group_mbits;25;250;vht;4;2;0;117,234,351,468,702,936,1053,1170,1404,1560
*;0;group_mbits;26;260;vht;1;2;1;32.5,65,97.5,130,195,260,292.5,325,390,433.3
*;0;group_mbits;27;270;vht;2;2;1;65,130,195,260,390,520,585,650,780,866.7
*;0;group_mbits;28;280;vht;3;2;1;97.5,195,292.5,390,585,780,nan,975,1170,1300
*;0;group_mbits;29;290;vht;4;2;1;130,260,390,520,780,1040,1170,1300,1560,1733.3